orangutan 23h 782t
chimp 17302h 2929h
chimp 313h 4308t
chimp 1113t 3760t
chimp 180t 1513h
chimp 6243h 60t
chimp 3350h 3515t
chimp 34t 34h
chimp 10105h 4470h
chimp 5327t 1278t
chimp 894h 14734h
chimp 5117h 4418t
chimp 911h 9t
chimp 275t 8151h
chimp 2738h 6245h
chimp 381t 448h
chimp 5535h 3273h
chimp 364t 1785h
chimp 1329h 180h
chimp 5768t 201t
chimp 4098h 201h
chimp 2589h 1482h
chimp 264h 41h
chimp 19329t 24125h
chimp 3239t 3013t
chimp 8518h 3714h
chimp 5987h 1365h
chimp 3615t 2253h
chimp 17435h 515t
chimp 164h 4068t
chimp 4344t 4980h
chimp 2227h 5874t
chimp 12786h 7077t
chimp 1174h 2902t
chimp 1016t 389t
chimp 991h 563t
chimp 3052t 6649t
chimp 10059h 5327h
chimp 1591t 7740t
chimp 10528t 272t
chimp 12243t 3409t
chimp 6513t 7627t
chimp 947h 7145h
chimp 3097h 10704t
chimp 16975h 2121t
chimp 944h 2289h
chimp 6626t 16714t
chimp 32h 4256t
chimp 9436h 20900t
chimp 13040t 380t
chimp 1261h 19192t
chimp 736h 2094h
chimp 31631h 3625t
chimp 11016h 2167h
chimp 6077h 12420t
chimp 7378h 26483t
chimp 369h 11936t
chimp 29443h 4607t
chimp 2625t 5670h
chimp 16598h 9521h
chimp 4779t 22633t
chimp 3966h 575t
chimp 591t 28773h
chimp 4749t 871t
chimp 6245t 11606t
chimp 362h 13929t
chimp 3502t 33089h
chimp 12950h 1957h
chimp 3839h 22687h
chimp 4570h 249t
chimp 18718t 9424h
chimp 23598h 13758t
chimp 537h 13324t
gorilla 1118h 1142t
gorilla 20027h 1668t
gorilla 2855t 1369t
gorilla 12687t 708h
gorilla 12786h 7077t
gorilla 20028t 9741t
gorilla 4316h 664t
gorilla 3953h 21200h
gorilla 4373h 4965h
gorilla 3118t 13699t
gorilla 2342t 1396t
gorilla 2290t 1377t
gorilla 250h 2086h
gorilla 5876t 6138t
gorilla 1644t 9387t
gorilla 22490h 2905t
gorilla 12303h 2445t
gorilla 4268t 134h
gorilla 237h 639h
gorilla 13438h 781h
gorilla 10154h 19173t
gorilla 11485t 36967h
human 11203h 5829t
human 5629t 16298h
human 9742h 4207t
human 6243h 984t
human 5050h 10094t
human 1940t 2209t
human 2462h 22187h
human 2099t 2435h
human 2078h 991h
human 2209h 1886t
human 9h 3261h
human 3844h 4063t
human 194t 4622t
human 5621t 816h
human 12303h 2445t
human 623t 1524h
human 1212t 1212h
human 6707h 4603t
human 614h 490h
human 1453t 4282h
human 2684h 1063h
human 871h 471h
human 34h 9184h
human 2099h 5874h
human 1949h 2085t
human 5535h 33360h
human 164h 2986h
human 3221h 2551t
human 2572h 172h
human 20027h 1668t
human 110h 194h
human 201t 4098h
human 652t 652h
human 12888t 4524t
human 7894h 1822t
human 4620t 4456h
human 1174t 847t
human 2738h 2738t
human 1369t 10180h
human 1118h 3652t
human 2865t 6393h
human 32644h 1490t
human 81h 32194t
human 3347t 11157t
human 1903t 8446t
human 20028t 9741t
human 1170t 7716h
human 1432t 16811t
human 1818h 1818t
human 611t 9161t
human 269h 4147h
human 11161h 272t
human 8302t 8302h
human 2079h 7748t
human 1860h 1860t
human 2608h 6610t
human 3953h 21200h
human 2113t 22448h
human 2200h 1178h
human 18820t 3801t
human 4090h 980h
human 5979h 24937h
human 11616h 22745h
human 8469h 8469t
human 3618h 4915t
human 18007h 18046h
human 704h 6521h
human 781h 781t
human 4424t 2502h
human 12271t 1335h
human 5443t 21149h
human 27061t 37347t
human 1645h 838t
human 5863h 6467t
human 4235h 4235t
human 4051h 20200t
human 1870h 2154h
human 785t 2119h
human 9148t 7605t
human 1568h 2314t
human 1836h 1835h
human 315t 9607h
human 5360h 9335t
human 11606t 3030t
human 2667t 6307h
human 827t 4746t
human 23598h 13758t
human 10483t 29752h
human 21124h 9505t
human 26127h 9769h
human 5690t 8651t
human 15475h 20857t
