orangutan 782t 23h
gorilla 2342t 1396t
gorilla 4965h 4373h
gorilla 3953h 21200h
gorilla 664t 4316h
gorilla 237h 639h
gorilla 13438h 781h
gorilla 7077t 12786h
gorilla 1644t 9387t
gorilla 2086h 250h
gorilla 2290t 1377t
gorilla 1668t 20027h
gorilla 1142t 1118h
gorilla 12303h 2445t
gorilla 5876t 6138t
gorilla 22490h 2905t
gorilla 708h 12687t
gorilla 9741t 20028t
gorilla 36967h 11485t
chimp 10105h 4470h
chimp 6245h 2738h
chimp 2902t 1174h
chimp 60t 6243h
chimp 1482h 2589h
chimp 4980h 4344t
chimp 244t 31t
chimp 5535h 3273h
chimp 448h 381t
chimp 1278t 5327t
chimp 34h 34t
chimp 41h 264h
chimp 9t 911h
chimp 3350h 3515t
chimp 4098h 201h
chimp 14734h 894h
chimp 2929h 17302h
chimp 1113t 3760t
chimp 575t 3966h
chimp 180h 1329h
chimp 201t 5768t
chimp 871t 4749t
chimp 180t 1513h
chimp 12237t 1668t
chimp 313h 4308t
chimp 364t 1785h
chimp 275t 8151h
chimp 31h 7748h
chimp 563t 991h
chimp 1016t 389t
chimp 16598h 9521h
chimp 3615t 2253h
chimp 6513t 7627t
chimp 3013t 3239t
chimp 3052t 6649t
chimp 3714h 8518h
chimp 24125h 19329t
chimp 1365h 5987h
chimp 32h 4256t
chimp 5874t 2227h
chimp 31631h 3625t
chimp 591t 28773h
chimp 2121t 16975h
chimp 10059h 5327h
chimp 362h 13929t
chimp 9436h 20900t
chimp 6626t 16714t
chimp 7378h 26483t
chimp 11936t 369h
chimp 272t 10528t
chimp 7740t 1591t
chimp 380t 13040t
chimp 2625t 5670h
chimp 7077t 12786h
chimp 33089h 3502t
chimp 11016h 2167h
chimp 11606t 6245t
chimp 22633t 4779t
chimp 4068t 164h
chimp 4570h 249t
chimp 947h 7145h
chimp 1261h 19192t
chimp 3839h 22687h
chimp 12950h 1957h
chimp 29443h 4607t
chimp 6077h 12420t
chimp 2289h 944h
chimp 23598h 13758t
chimp 9424h 18718t
chimp 13324t 537h
human 1949h 2085t
human 816h 5621t
human 22187h 2462h
human 991h 2078h
human 5629t 16298h
human 5535h 33360h
human 172h 2572h
human 614h 490h
human 4207t 9742h
human 34h 9184h
human 9h 3261h
human 3221h 2551t
human 984t 6243h
human 12303h 2445t
human 11203h 5829t
human 4063t 1785t
human 8539t 201t
human 4282h 1453t
human 871h 471h
human 623t 1524h
human 2986h 164h
human 6707h 4603t
human 1063h 2684h
human 2209h 2209t
human 194t 1412h
human 194h 3615t
human 2895t 991t
human 10094t 5050h
human 2435h 2099t
human 1212t 1212h
human 1668t 20027h
human 11157t 3347t
human 1369t 2855t
human 1903t 8446t
human 3953h 21200h
human 1178h 2200h
human 4051h 20200t
human 315t 9607h
human 3652t 4718t
human 2608h 6610t
human 1860h 1860t
human 13438h 781h
human 32194t 81h
human 1174t 847t
human 4456h 4620t
human 4524t 12888t
human 652h 652t
human 1822t 7894h
human 6467t 5863h
human 1432t 16811t
human 8469h 8469t
human 5360h 9335t
human 2667t 6307h
human 1818h 1818t
human 8302h 8302t
human 980h 4090h
human 272t 272h
human 5979h 24937h
human 2032t 2738h
human 5443t 21149h
human 4235h 4235t
human 2502h 4424t
human 2119h 785t
human 1335h 900h
human 9161t 611t
human 1870h 2154h
human 11606t 3030t
human 4746t 827t
human 704h 6521h
human 1836h 1835h
human 27061t 37347t
human 18007h 18046h
human 1568h 2314t
human 22745h 11616h
human 3801t 18820t
human 7748t 2079h
human 4147h 269h
human 1490t 32644h
human 9148t 7605t
human 1645h 838t
human 9505t 21124h
human 23598h 13758t
human 9769h 26127h
human 8651t 5690t
human 10483t 29752h
human 20857t 15475h
