rabbit 679h 353h
rat 1966t 1966h
tree_shrew 2624t 3187t
tree_shrew 1213h 316t
tree_shrew 965h 1775h
tree_shrew 9773h 9941h
tree_shrew 2915h 4575h
tree_shrew 1899h 10741h
tree_shrew 9409t 4345h
tree_shrew 3495t 3633t
tree_shrew 1322t 5604h
tree_shrew 8995h 4485h
tree_shrew 13261t 4645t
tree_shrew 6609t 187h
tree_shrew 5840t 816t
tree_shrew 5366t 14125h
tree_shrew 10580h 1036h
tree_shrew 7911h 452h
tree_shrew 942t 3590h
tree_shrew 2982h 2159t
tree_shrew 5169t 15561h
tree_shrew 2035h 7525t
tree_shrew 11871t 1033t
tree_shrew 9750h 2177h
tree_shrew 6873t 331h
tree_shrew 2860h 3142h
tree_shrew 543h 13912h
tree_shrew 4435t 2847h
tree_shrew 958h 466h
tree_shrew 1096t 1146h
tree_shrew 6341h 435h
tree_shrew 139t 10236h
tree_shrew 13084h 3609t
tree_shrew 440t 649t
tree_shrew 1167h 6782h
tree_shrew 2135t 412t
tree_shrew 1651t 3838h
tree_shrew 7159h 7362t
tree_shrew 465h 5266t
tree_shrew 142t 3474t
tree_shrew 163t 3677h
tree_shrew 14042h 1873t
tree_shrew 4872t 2212t
tree_shrew 2913t 2913h
tree_shrew 6854t 13055t
tree_shrew 6266t 8122t
tree_shrew 2273h 2734h
tree_shrew 1145t 787h
tree_shrew 3196h 216t
tree_shrew 291t 5359h
tree_shrew 4249h 11503t
tree_shrew 2959h 12782t
tree_shrew 2597h 2377t
tree_shrew 2235h 2235t
tree_shrew 2664h 2664t
tree_shrew 239t 1558h
tree_shrew 614t 86h
tree_shrew 3743t 5020h
tree_shrew 6520h 2032h
tree_shrew 2219t 7202h
tree_shrew 2959t 14790h
tree_shrew 7314t 8268t
tree_shrew 9802t 7442t
tree_shrew 15687h 7803t
tree_shrew 2499t 6472h
tree_shrew 15379t 1413h
tree_shrew 1643t 10235t
tree_shrew 1474t 606h
tree_shrew 4937t 7535h
tree_shrew 9060t 1890t
tree_shrew 5593t 10460h
tree_shrew 5032h 3263t
tree_shrew 8577h 2515t
tree_shrew 3816t 9473h
tree_shrew 4443h 3335t
tree_shrew 2117t 2634t
tree_shrew 1102t 4033h
tree_shrew 4268h 4622t
tree_shrew 503h 503t
tree_shrew 718t 718h
tree_shrew 881h 13859t
tree_shrew 2140t 4189t
tree_shrew 8317t 8317h
tree_shrew 10525h 1155t
tree_shrew 6318t 3992t
tree_shrew 5569t 10333h
tree_shrew 2112t 719h
tree_shrew 10912h 2822t
tree_shrew 11710h 5706t
tree_shrew 14t 15881h
tree_shrew 1036t 3497t
tree_shrew 2299h 3555t
tree_shrew 1075t 11141h
tree_shrew 350t 2742t
tree_shrew 4830t 3983t
tree_shrew 2616h 3517t
tree_shrew 3735t 405h
tree_shrew 1305t 2915t
tree_shrew 2255h 37h
tree_shrew 756t 1379h
tree_shrew 7654h 2310h
tree_shrew 2675t 1193t
tree_shrew 14015t 2964t
tree_shrew 807t 4864h
tree_shrew 1069h 10038t
tree_shrew 2844t 116t
tree_shrew 1750h 1106t
tree_shrew 924h 13694t
tree_shrew 15429h 1354t
tree_shrew 702h 18404t
tree_shrew 3432h 7778h
tree_shrew 9559h 7243h
tree_shrew 1104h 13720h
tree_shrew 2226h 9964t
tree_shrew 5064t 14366h
tree_shrew 7119t 1358t
tree_shrew 1667t 957h
tree_shrew 788h 3489t
tree_shrew 1432t 596t
tree_shrew 16214h 2818t
tree_shrew 13623h 249h
tree_shrew 2595h 1604h
tree_shrew 2902h 1099h
tree_shrew 2105h 5420t
tree_shrew 2797t 3881t
tree_shrew 2142h 4377h
