rat 1966h 1966t
rabbit 353h 679h
guinea_pig 2910t 4540h
guinea_pig 2982t 129t
guinea_pig 9563t 4646t
guinea_pig 196t 2159h
guinea_pig 239h 196h
guinea_pig 1942t 681h
guinea_pig 296t 3463t
guinea_pig 301h 3147t
guinea_pig 2001t 177h
guinea_pig 1099h 1099t
guinea_pig 430t 430h
guinea_pig 1667h 2512t
guinea_pig 3419h 11404h
guinea_pig 467h 186h
guinea_pig 1643h 1643t
guinea_pig 1782t 235h
guinea_pig 12575t 42t
guinea_pig 1224t 366h
guinea_pig 891h 3010h
guinea_pig 912h 39t
guinea_pig 11300t 4655t
guinea_pig 3120h 95h
guinea_pig 3539t 12935t
guinea_pig 13522t 4508t
guinea_pig 342t 357h
guinea_pig 3209t 3562t
guinea_pig 1224h 575t
guinea_pig 476h 121h
guinea_pig 1843t 5189t
guinea_pig 377t 2733t
guinea_pig 1169t 1169h
guinea_pig 869h 1570t
guinea_pig 1750h 935t
guinea_pig 614h 86t
guinea_pig 4427h 969t
guinea_pig 8318t 2127t
guinea_pig 20h 20t
guinea_pig 209h 113t
guinea_pig 2278h 6146h
guinea_pig 810h 2781h
guinea_pig 1993h 2725t
guinea_pig 3046t 4966t
guinea_pig 2504h 10281h
guinea_pig 3184t 6736h
guinea_pig 7948h 8378t
guinea_pig 14414h 4274t
guinea_pig 3104t 2227h
guinea_pig 1023h 5839t
guinea_pig 2156h 95t
guinea_pig 11788h 3417h
guinea_pig 7661h 17095t
guinea_pig 6905t 13603t
tree_shrew 3064h 3519h
tree_shrew 786t 3587t
tree_shrew 7189t 3137t
tree_shrew 858t 1733h
tree_shrew 1726t 2058h
tree_shrew 1500h 3287h
tree_shrew 17110t 2348t
tree_shrew 148t 3368t
tree_shrew 1624h 1624t
tree_shrew 435h 6341h
tree_shrew 2742t 350t
tree_shrew 177h 1363h
tree_shrew 2343h 1938t
tree_shrew 2913t 2913h
tree_shrew 3875h 6675h
tree_shrew 2808h 6854h
tree_shrew 7294t 7294h
tree_shrew 6419t 5776h
tree_shrew 323t 727t
tree_shrew 3224t 7355h
tree_shrew 10593h 3624h
tree_shrew 1036h 6621h
tree_shrew 3630h 3401t
tree_shrew 553t 8776t
tree_shrew 179t 3322h
tree_shrew 1946h 1946t
tree_shrew 1875t 182t
tree_shrew 1643h 13683t
tree_shrew 3542t 3542h
tree_shrew 7902h 14h
tree_shrew 614t 86h
tree_shrew 5781t 1302t
tree_shrew 7911h 452h
tree_shrew 1086h 1169h
tree_shrew 5936t 2601t
tree_shrew 1305t 2915t
tree_shrew 2105h 5420t
tree_shrew 5290h 12405t
tree_shrew 5359h 291t
tree_shrew 7535h 4937t
tree_shrew 5593t 313t
tree_shrew 3495h 1159t
tree_shrew 4197h 7713t
tree_shrew 1358t 7119t
tree_shrew 3023t 11h
tree_shrew 4234t 4971t
tree_shrew 4202h 10559h
tree_shrew 1973t 3877h
tree_shrew 2944t 12t
tree_shrew 676t 3847t
tree_shrew 135t 3200h
tree_shrew 163t 3677h
tree_shrew 10206t 6881t
tree_shrew 235t 5086t
tree_shrew 2859t 12848t
tree_shrew 1057h 8524h
tree_shrew 11549h 960t
tree_shrew 5063t 12276t
tree_shrew 6462h 2214h
tree_shrew 4315t 86t
tree_shrew 3802t 9248h
tree_shrew 1352h 1003h
tree_shrew 7423h 1952h
tree_shrew 810h 434t
tree_shrew 844t 247h
tree_shrew 2473t 5930h
tree_shrew 1069h 10038t
tree_shrew 4719t 7434h
tree_shrew 3497t 1036t
tree_shrew 13765t 731h
tree_shrew 2212t 4872t
tree_shrew 4483t 12422h
tree_shrew 1018t 365h
tree_shrew 5232t 689h
tree_shrew 9559h 7243h
tree_shrew 11514t 1645t
tree_shrew 4830t 3983t
tree_shrew 11584h 10839t
tree_shrew 14015t 2964t
tree_shrew 3917h 3917t
tree_shrew 816t 5840t
tree_shrew 2032h 6520h
tree_shrew 331h 6873t
tree_shrew 211h 1025h
tree_shrew 1474t 606h
tree_shrew 4435h 4322t
tree_shrew 1155t 10525h
tree_shrew 3920h 3920t
tree_shrew 5820h 107t
tree_shrew 715h 2426h
tree_shrew 2255h 37h
tree_shrew 7654h 2310h
tree_shrew 2068t 4145t
tree_shrew 2259t 2843t
tree_shrew 1063t 1292t
tree_shrew 2939t 1792t
tree_shrew 1142t 1356t
tree_shrew 503h 503t
tree_shrew 5765t 3319h
tree_shrew 4853h 421t
tree_shrew 1899h 10741h
tree_shrew 4903t 187h
tree_shrew 15159h 2010h
tree_shrew 446h 6995t
tree_shrew 3432h 7778h
tree_shrew 507h 6963h
tree_shrew 160h 10236t
tree_shrew 4443h 3335t
tree_shrew 889h 3424h
tree_shrew 3609t 13084h
tree_shrew 183h 2597t
tree_shrew 924h 13694t
tree_shrew 11478t 2738t
tree_shrew 3909h 4636h
